scope	category	count	denominator	share
all_judgments	MURAL_2src	54	100	0.54
all_judgments	BM25_projection	19	100	0.19
all_judgments	Comparable	15	100	0.15
all_judgments	Both insufficient	12	100	0.12
annotator_A	MURAL_2src	25	50	0.5
annotator_A	BM25_projection	10	50	0.2
annotator_A	Comparable	10	50	0.2
annotator_A	Both insufficient	5	50	0.1
annotator_B	MURAL_2src	29	50	0.58
annotator_B	BM25_projection	9	50	0.18
annotator_B	Comparable	5	50	0.1
annotator_B	Both insufficient	7	50	0.14
unique_instances	MURAL_2src	41	80	0.5125
unique_instances	BM25_projection	16	80	0.2
unique_instances	Comparable	10	80	0.125
unique_instances	Both insufficient	5	80	0.0625
unique_instances	No consensus	8	80	0.1
