baseline	treatment	top_k	metric	N	baseline_value	treatment_value	delta	ci95_low	ci95_high	wins	losses	ties	exact_mcnemar_p
BM25_projection	MURAL	20	file	491	0.7372708757637475	0.8289205702647657	0.09164969450101823	0.06313645621181263	0.12219959266802444	52	7	432	1.3589917802203644e-09
BM25_projection	MURAL	20	method	491	0.4979748753170341	0.590770595098497	0.09279571978146295	0.06491934180325218	0.12104306080884492	64	8	419	NA
BM25_projection	MURAL	20	mrr	491	0.28654124617368576	0.33934019577750696	0.0527989496038212	0.034217783390823805	0.07132369694289196	156	38	297	NA
BM25_projection	MURAL	20	hit	491	0.5682281059063137	0.6680244399185336	0.09979633401221988	0.07128309572301425	0.13034623217922606	56	7	428	1.363671398024735e-10
Structural_projection	MURAL	20	file	491	0.5926680244399185	0.8289205702647657	0.23625254582484723	0.1955193482688391	0.2790224032586558	124	8	359	7.222443479508938e-28
Structural_projection	MURAL	20	method	491	0.45087542577359274	0.590770595098497	0.1398951693249043	0.1002458759841652	0.179537960342441	118	34	339	NA
Structural_projection	MURAL	20	mrr	491	0.25777675805222733	0.33934019577750696	0.08156343772527963	0.05025483901758394	0.11330833817032776	224	74	193	NA
Structural_projection	MURAL	20	hit	491	0.505091649694501	0.6680244399185336	0.1629327902240325	0.12016293279022404	0.20570264765784113	105	25	361	7.380343677887176e-13
Dense_projection	MURAL	20	file	491	0.8289205702647657	0.8289205702647657	0.0	-0.028513238289205704	0.028513238289205704	27	27	437	1.0
Dense_projection	MURAL	20	method	491	0.5586620863861188	0.590770595098497	0.03210850871237825	0.0029955872369314333	0.06151682668994277	48	32	411	NA
Dense_projection	MURAL	20	mrr	491	0.3152536620180211	0.33934019577750696	0.024086533759485884	0.0005832428262800365	0.04681442344469715	146	65	280	NA
Dense_projection	MURAL	20	hit	491	0.6313645621181263	0.6680244399185336	0.03665987780040725	0.008146639511201629	0.06720977596741344	37	19	435	0.022241389472860112
