repository	N	variant	nonempty	applied	resolved	resolved_rate
astropy/astropy	22	bm25	20	20	4	0.18181818181818182
astropy/astropy	22	issue	19	19	3	0.13636363636363635
astropy/astropy	22	mural	19	19	4	0.18181818181818182
django/django	231	bm25	211	210	76	0.329004329004329
django/django	231	issue	198	198	64	0.27705627705627706
django/django	231	mural	212	211	86	0.3722943722943723
matplotlib/matplotlib	34	bm25	31	31	4	0.11764705882352941
matplotlib/matplotlib	34	issue	26	26	4	0.11764705882352941
matplotlib/matplotlib	34	mural	30	30	4	0.11764705882352941
mwaskom/seaborn	2	bm25	1	1	0	0.0
mwaskom/seaborn	2	issue	1	1	0	0.0
mwaskom/seaborn	2	mural	1	1	0	0.0
pallets/flask	1	bm25	1	1	0	0.0
pallets/flask	1	issue	0	0	0	0.0
pallets/flask	1	mural	1	1	0	0.0
psf/requests	8	bm25	7	7	2	0.25
psf/requests	8	issue	7	7	2	0.25
psf/requests	8	mural	7	7	2	0.25
pydata/xarray	22	bm25	19	19	6	0.2727272727272727
pydata/xarray	22	issue	18	18	5	0.22727272727272727
pydata/xarray	22	mural	17	17	7	0.3181818181818182
pylint-dev/pylint	10	bm25	9	9	2	0.2
pylint-dev/pylint	10	issue	6	6	1	0.1
pylint-dev/pylint	10	mural	9	9	2	0.2
pytest-dev/pytest	19	bm25	18	18	4	0.21052631578947367
pytest-dev/pytest	19	issue	14	14	3	0.15789473684210525
pytest-dev/pytest	19	mural	18	18	6	0.3157894736842105
scikit-learn/scikit-learn	32	bm25	30	30	11	0.34375
scikit-learn/scikit-learn	32	issue	26	26	10	0.3125
scikit-learn/scikit-learn	32	mural	28	28	12	0.375
sphinx-doc/sphinx	44	bm25	40	40	8	0.18181818181818182
sphinx-doc/sphinx	44	issue	38	38	5	0.11363636363636363
sphinx-doc/sphinx	44	mural	42	42	7	0.1590909090909091
sympy/sympy	75	bm25	66	65	17	0.22666666666666666
sympy/sympy	75	issue	63	62	15	0.2
sympy/sympy	75	mural	66	63	16	0.21333333333333335
ALL	500	bm25	453	451	134	0.268
ALL	500	issue	416	415	112	0.224
ALL	500	mural	450	446	146	0.292
