scenario	analysis	metric	source	comparison	N	baseline_percent	full_percent	delta_points	full_only	ablated_only
standalone_top20	leave_one_source_out	file_hit	BM25	Structural_Dense->MURAL	500	82.200000	83.000000	0.800000	23	19
standalone_top20	leave_one_source_out	file_hit	Structural	BM25_Dense->MURAL	500	81.400000	83.000000	1.600000	17	9
standalone_top20	leave_one_source_out	file_hit	Dense	BM25_Structural->MURAL	500	77.000000	83.000000	6.000000	33	3
standalone_top20	leave_one_source_out	hit	BM25	Structural_Dense->MURAL	500	66.400000	67.200000	0.800000	22	18
standalone_top20	leave_one_source_out	hit	Structural	BM25_Dense->MURAL	500	63.800000	67.200000	3.400000	23	6
standalone_top20	leave_one_source_out	hit	Dense	BM25_Structural->MURAL	500	63.200000	67.200000	4.000000	31	11
standalone_top20	leave_one_source_out	complete	BM25	Structural_Dense->MURAL	500	49.600000	49.600000	0.000000	20	20
standalone_top20	leave_one_source_out	complete	Structural	BM25_Dense->MURAL	500	47.000000	49.600000	2.600000	19	6
standalone_top20	leave_one_source_out	complete	Dense	BM25_Structural->MURAL	500	46.800000	49.600000	2.800000	24	10
standalone_top20	single_source_exclusive	hit	BM25	BM25	500	NA	NA	NA	13	NA
standalone_top20	single_source_exclusive	hit	Structural	Structural	500	NA	NA	NA	45	NA
standalone_top20	single_source_exclusive	hit	Dense	Dense	500	NA	NA	NA	27	NA
token4000	leave_one_source_out	file_hit	BM25	Structural_Dense_t4000->MURAL_t4000	500	82.000000	81.800000	-0.200000	22	23
token4000	leave_one_source_out	file_hit	Structural	BM25_Dense_t4000->MURAL_t4000	500	80.400000	81.800000	1.400000	20	13
token4000	leave_one_source_out	file_hit	Dense	BM25_Structural_t4000->MURAL_t4000	500	74.600000	81.800000	7.200000	39	3
token4000	leave_one_source_out	hit	BM25	Structural_Dense_t4000->MURAL_t4000	500	65.600000	66.600000	1.000000	20	15
token4000	leave_one_source_out	hit	Structural	BM25_Dense_t4000->MURAL_t4000	500	63.200000	66.600000	3.400000	25	8
token4000	leave_one_source_out	hit	Dense	BM25_Structural_t4000->MURAL_t4000	500	61.400000	66.600000	5.200000	35	9
token4000	leave_one_source_out	complete	BM25	Structural_Dense_t4000->MURAL_t4000	500	48.600000	49.000000	0.400000	19	17
token4000	leave_one_source_out	complete	Structural	BM25_Dense_t4000->MURAL_t4000	500	46.200000	49.000000	2.800000	23	9
token4000	leave_one_source_out	complete	Dense	BM25_Structural_t4000->MURAL_t4000	500	46.400000	49.000000	2.600000	22	9
glm_prefix_top20	leave_one_source_out	file_hit	BM25	GLM_Structural_Dense->GLM_MURAL	500	95.200000	95.200000	0.000000	5	5
glm_prefix_top20	leave_one_source_out	file_hit	Structural	GLM_BM25_Dense->GLM_MURAL	500	94.800000	95.200000	0.400000	4	2
glm_prefix_top20	leave_one_source_out	file_hit	Dense	GLM_BM25_Structural->GLM_MURAL	500	94.600000	95.200000	0.600000	4	1
glm_prefix_top20	leave_one_source_out	hit	BM25	GLM_Structural_Dense->GLM_MURAL	500	79.200000	79.800000	0.600000	7	4
glm_prefix_top20	leave_one_source_out	hit	Structural	GLM_BM25_Dense->GLM_MURAL	500	79.200000	79.800000	0.600000	11	8
glm_prefix_top20	leave_one_source_out	hit	Dense	GLM_BM25_Structural->GLM_MURAL	500	79.200000	79.800000	0.600000	8	5
glm_prefix_top20	leave_one_source_out	complete	BM25	GLM_Structural_Dense->GLM_MURAL	500	61.800000	61.200000	-0.600000	5	8
glm_prefix_top20	leave_one_source_out	complete	Structural	GLM_BM25_Dense->GLM_MURAL	500	60.600000	61.200000	0.600000	10	7
glm_prefix_top20	leave_one_source_out	complete	Dense	GLM_BM25_Structural->GLM_MURAL	500	61.400000	61.200000	-0.200000	8	9
